id_firma,sursa,firma,judet,localitate,persoana,email1,email2,telefon1,telefon2,cui,adresa,nume_norm,surse,nr_duplicate
1,30_ani,ALFA CLUJ SRL,,,Osvath Zoltan,osvath.zoltan@gmail.com,,,,,,ALFA CLUJ,30_ani,1
2,30_ani,INMAACRO SRL,,,Dan Popescu,popescu.dan@inmaacro.com,oana.diaconescu@inmaacro.com,,,,,INMAACRO,30_ani,1
3,grecia,K BOX CONSTRUCT,,,,,,,,,,K BOX CONSTRUCT,grecia,1
4,30_ani,NEXXON SRL,,,Porkolab Ors Janos,oporkolab@nexxon.ro,enagy@nexxon.ro,,,,,NEXXON,30_ani,1
5,30_ani,NICOLAUS COM,,,Bogdan Nicolae,office@nicolauscom.ro,,,,,,NICOLAUS COM,30_ani,1
6,30_ani,THYSSENKRUPP BILSTEIN SA,,,Nicoale Viasu,nicolae.viasu@bilstein.ro,,,,,,THYSSENKRUPP BILSTEIN,30_ani,1
7,ADRESE_2000,A E ELECTRONICS SA,BACAU,Bacau,Burian Ori,,,,,,STR. CONDORILOR NR.12,A E ELECTRONICS,ADRESE_2000,1
8,ADRESE_2000,AEROSTAR SA,BACAU,Bacau,Filip Grigore,,,,,,STR. CONDORILOR NR.9,AEROSTAR,ADRESE_2000,1
9,ADRESE_2000,AGRICOLA INTERNATIONAL SA,BACAU,Bacau,Horoi Grigore,,,,,,CALEA MOLDOVEI NR.94,AGRICOLA INTERNATIONAL,ADRESE_2000,1
10,ADRESE_2000,AGRICULTORUL SRL,BACAU,Barsanesti,Ilie Mihai,,,,,,STR. PROGRESULUI NR.8,AGRICULTORUL,ADRESE_2000,1
11,ADRESE_2000,AGRITEHNICA SERVICE SRL,BACAU,Valea Seaca,Ghinia Gheorghe,,,,,,NR.,AGRITEHNICA SERVICE,ADRESE_2000,1
12,ADRESE_2000,AGROTEHNOGRUP SRL,BACAU,Onesti,Ilie Mihai,,,,,,CALEA BACAULUI NR.1,AGROTEHNOGRUP,ADRESE_2000,1
