id_firma,email1
1,osvath.zoltan@gmail.com
2,popescu.dan@inmaacro.com
4,oporkolab@nexxon.ro
5,office@nicolauscom.ro
6,nicolae.viasu@bilstein.ro
197,office@aetos.ro
200,support@ahi-carrier.ro
207,office@alphamedical.ro
208,marketing@alumil.ro
216,office@astronchemicals.ro
217,sales@austriacard.ro
221,reservations@hertz.ro
230,info@bestfoods-ltd.com
242,reclamatii@bsbfashion.ro
246,contabilitate@cmdeltaapparel.ro
258,office@cosmosmobile.ro
267,ceroauditmcsi@deloitte.com
268,acondrea@deloittece.com
269,comenzi@diamedix.ro
270,egnatia.rom@egnatia-rom.com
271,office@genco.ro
278,hotelair@hotelcon.net
286,office@imedica.ro
290,sales@lykos.ro
293,infoclient@interstar.ro
294,office@intrarom.ro
304,roaccount@jumbo.gr
328,office@lumina.ro
344,a.ion@yamaha-motor.ro
345,info@ndmedhealth.ro
398,contactexro@enel.com
399,contactee.ro@enel.com
400,contacteem.ro@enel.com
401,egpr-em.ro@enel.com
408,primoprod@gmail.com
419,office@profilco-romania.ro
452,reclamatii.muntenia@e-distributie.com
482,info@teleperformance.ro
490,contact@sante.ro
492,secretariat@sarantisgroup.com
505,office@sephora.ro
509,acreanga@siderom.vionet.gr
530,info.ro@sofmedica.com
549,office@gotravel.ro
553,info@synotech.com
567,recrutare@telekom.ro
569,office@tema-energy.ro
620,office@vectra.ro
639,office@eurofit.ro
653,victoria.oancea@valvis-holding.com
733,dablerom@dablerom.com
894,office@planeamtagro.ro
895,office@planeamtagro.ro
943,ioannis@rocasdecor.ro
1052,office@blackseasuppliers.ro
1054,info@gdlgroup.eu
1055,ioana@medtainer.ro
1056,reclamatii.dobrogea@e-distributie.com
1057,info.flb@hellenicdairies.com
1058,office@karvelas.ro
1059,office@panelland.eu
1119,info@muehlhan.ro
1299,alindaro@alinda.ro
1300,office@analkoaluminium.ro
1301,office.dfr@druckfarbengroup.com
1302,info.bucharest@elton-group.com
1303,office@fatrom.ro
1304,office@flexikom.ro
1305,info@isomat.ro
1306,dbarbu@kallas.ro
1307,f.dumitru@karamolegos-bkr.ro
1309,info@promidea.eu
1310,office@pyramis.ro
1311,office@rohel.ro
1312,info@romcolor.ro
1313,sales@sidma-ro.vionet.gr
1314,info@skrekis.ro
1316,hallo@naturlich.ro
1317,office@3el.ro
1318,office@aatransporturi.com
1319,office@actrading.ro
1320,axztrans@yahoo.com
1321,service@aages.ro
1322,office@abraziv.ro
1324,acanthafarm@yahoo.com
1325,office@theacidmedia.net
1326,acmatmtirean@gmail.com
1327,office@acoperisulpotrivit.ro
1328,office@lotuslife.ro
1329,office@actconstructb.ro
1330,office2@adamsvision.ro
1332,aflorea90@yahoo.com
1333,iacobboca@yahoo.com
1334,adidragtrans@yahoo.com
1335,service@adial.ro
1336,office@adianacom.ro
1337,office@adimag.ro
1338,adimexsrl@yahoo.com
1339,scadimonsrl@yahoo.com
1340,contact@piete-tgmures.ro
1342,contact@adrusolution.ro
1343,office@transylvaniaairport.ro
1344,anca.darabus@ropharma.ro
1345,agcurbio@gmail.com
1349,agrocomalbert@yahoo.com
1352,agroproddosa@yahoo.com
1353,agro_rom_aurelian_botezat@yahoo.com
1355,agrogeeaproduct@yahoo.com
1356,agrogreenconcept@gmail.com
1357,office@agrolegvaro.ro
1359,productie@agroprestgroup.ro
1360,agroprest.ms@gmail.com
1361,agrosen_online@yahoo.com
1362,comercial@agrosprint.ro
1363,agrotranscomex@gmail.com
1364,aksd@aksd.ro
1365,alcamadairy@gmail.com
1368,alegurdexpedition16@yahoo.com
1369,laurentiu.neacsa@yahoo.com
1370,office@aliat-ams.ro
1372,office@aliat-auto.ro
1373,atotransport2014@gmail.com
1374,balastiera@alltin.ro
1376,office@all4plast.ro
1377,office@allcolors.ro
1378,tehnic@allstar.ro
1380,contact@aps-ms.ro
1381,comenzi@alprod.ro
1382,altegroup2023@gmail.com
1383,office@sovata-alunis.ro
1385,farmacia_amanita@yahoo.com
1386,amaris_72@yahoo.com
1387,hello@liliac.com
1388,ambasadorgroup17@gmail.com
1389,ambiscosrl@yahoo.com
1390,office@amismob.ro
1391,comenzi@anfeed.ro
1392,anacomtrans@yahoo.com
1394,diamedms21@gmail.com
1395,secretariat@angiocenter.ro
1396,office@anvergo.ro
1397,office@anvico.ro
1398,attsasighisoara@yahoo.com
1399,office@apiprodex.eu
1400,arpi.abodi@yahoo.com
1401,office@arcoflor.ro
1403,ardon@ardon4safety.ro
1404,info@pelso-lexy.ro
