id_firma,firma,persoana,candidati_mx
7,A E ELECTRONICS SA,Burian Ori,electronics.com;electronics.net
8,AEROSTAR SA,Filip Grigore,aerostar.ro;aerostar.com
15,ARELUX SRL,Murgu Remus Constantin,arelux.ro;arelux.com
16,AROMA RISE SA,Hirlea Dan,aromarise.com;aromarise.eu
17,AVANTGARDE SRL,Cristea Catalin,avantgarde.ro;avantgarde.com
18,B.R.T COMPANY GROUP SRL,Moraru Bartholomeu,companygroup.com;companygroup.eu
19,BARLETA SRL,Boboc Constantin,barleta.ro
21,BARRIER SRL,Garmacea Adrian,barrier.ro;barrier.com
24,CAMPURI AURII COOPERATIVA AGRICOLA,Somitca Iulian,campuri.ro;campuriaurii.ro
25,CAPITAL INVEST SRL,Georgescu Sebastian,capitalinvest.ro;capitalinvest.eu
26,CAT ION SRL,Balau Ion,cation.ro;cation.com
27,CEREALCOM SA,Ciorcila Laurian Ovidiu,cerealcom.com
30,COMPANIA REGIONALA DE APA BACAU SA,Filip Bogdan,compania.ro;compania.net
40,DEMECO SRL,Botez Daniel,demeco.ro;demeco.com
41,EDU PRO GRUP SRL,Ureche Petrica Daniel,eduprogrup.ro
42,ELECTRIC PLUS SRL,Garmacea Adrian,electricplus.ro;electricplus.com
46,EUROPROD SA,Horoi Grigore,europrod.ro;europrod.com
49,G A NUTRITIE ANIMALA SRL,Miglena Slavova Nikolova,nutritieanimala.ro
56,LEADING TECHNOLOGY SOLUTIONS SRL,Ciobanu Bogdan Dumitru,leading.ro;leading.com
58,LUSI UNION SILUSI SRL,Cotugno Matteo,lusiunionsilusi.ro
66,OMP SRL,Dominte Gabriel,omp.ro;omp.com
67,PAMBAC SA,Degeratu Ionel Danut,pambac.ro;pambac.com
69,PARTENER SRL,Dominte Gabriel,partener.ro;partener.com
72,REDO GROUP SRL,Murgu Remus Constantin,redogroup.ro;redogroup.com
74,RHINO WORK SRL,Cojocaru Constantin,rhinowork.ro
79,SA & PE CONSTRUCT SRL,Bunghiuz Cornel,peconstruct.ro;peconstruct.com
80,SALBAC SA,Horoi Grigore,salbac.ro
82,SALOFARM SRL,Palade Bogdan,salofarm.ro;salofarm.com
89,TECNOSTAMP TRIULZI EAST EUROPE SRL,Triulzi Alessandro Maria Domenico,tecnostamp.com;tecnostamp.eu
90,TEHNOSTRADE SRL,Nunu Alina,tehnostrade.ro
92,TELESYSTEM SRL,David Ioan Iulian,telesystem.ro;telesystem.eu
95,TOBACCO LAND SRL,Dan Marius,tobaccoland.com;tobaccoland.net
96,TROTUSTEX SRL,Comanici Melania,trotustex.com
106,COMCEREAL SA,Rimbu Vadim,comcereal.ro
107,CONREC SRL,Dincu Milica,conrec.eu;conrec.net
109,DADYCOM SRL,Tipu Raluca,dadycom.ro;dadycom.com
113,ELECTRO ALFA SERVICII INGINERIE SRL,Ciubotaru Gheorghe,electro.com;electro.eu
120,IRINIK SRL,Matei Ioan,irinik.eu
125,MIRA COM SRL,Mirauta Ion Mihai,miracom.ro;miracom.com
131,PROAGRO SRL,Rosca Costel,proagro.com;proagro.eu
134,SABCO S SRL,Ciubotariu Leonard,sabco.com;sabco.eu
137,SANCOS SRL,Nazare Lenuta,sancos.net
140,SOYBEAN AND MAYS PROD COOPERATIVA AGRICOLA,Zamosteanu Nicolae,soybean.com;soybean.net
144,VICOL GENERATION BUSINESS ROMANIA SRL,Vicol Darian Ioan,vicol.ro;vicol.net
145,VULTURI SRL,Cepoi Marcel Marin,vulturi.ro
146,ABILITY TRADE SRL,Enescu Octavian Gabriel,abilitytrade.com;ability-trade.com
147,AGRICOST SA,Krage Nils,agricost.com
148,APAN AGRICULTURE EQUIPMENTS SRL,Andreev Mircea,apan.ro;apan.com
152,AVIMI SERV SRL,Ionescu Victoria,avimiserv.ro
154,BONA AVIS SRL,Saglam Ghiulnur,bonaavis.ro
158,CHIMAGRI SRL,Plosca Irinel,chimagri.ro
160,COMPANIA DE UTILITATI PUBLICE DUNAREA BRAILA SA,Avram Ionel,compania.ro;compania.net
163,ELDOMIR SRL,Dogarescu Vasile,eldomir.ro
165,EURO BUILDING SRL,Brebenel Paul,eurobuilding.ro
167,FLIP TECHNOLOGIES SRL,Manea Tudor Lucian,fliptechnologies.com
169,GLORIOUS LIGHTING SRL,Chen Jui Lung,gloriouslighting.eu;glorious-lighting.com
170,HERCULES SA,Gheorghe Bunea Razvan,hercules.com;hercules.eu
171,IRMEX SA,Madadi Ali,irmex.eu
