id_firma,domeniu,verdict_cui,dovada
275,hogarth.ro,probabil-nume,termeni-si-conditii: nume complet
323,librainternetbank.ro,necunoscut,
362,oxigen.ro,necunoscut,
339,mediainvestment.ro,probabil-nume,despre-noi: nume complet
497,scda.ro,necunoscut,
463,romenergy.ro,CONFIRMAT-CUI,termeni-si-conditii: CUI 5462280
285,ilmaestro.ro,probabil-nume,/: nume complet
360,otho.ro,probabil-nume,termeni-si-conditii: nume complet
331,maira.ro,CONFIRMAT-CUI,contact: CUI 6661834
422,propaganda.ro,probabil-nume,/: nume complet
484,safir.ro,probabil-nume,termeni-si-conditii: nume complet
524,smartech.ro,probabil-nume,/: nume complet
404,premium.ro,necunoscut,
25,capitalinvest.ro,probabil-nume,termeni-si-conditii: nume complet
26,cation.ro,necunoscut,
36,cybernet.ro,probabil-nume,termeni-si-conditii: nume complet
41,edupro.ro,probabil-nume,/: nume complet
65,nitramonia.ro,probabil-nume,termeni-si-conditii: nume complet
143,vestra.ro,probabil-nume,termeni-si-conditii: nume complet
152,avimi.ro,probabil-nume,termeni-si-conditii: nume complet
165,eurobuilding.ro,probabil-nume,termeni-si-conditii: nume complet
182,romway.ro,probabil-nume,/: nume complet
215,artgroup.ro,probabil-nume,termeni-si-conditii: nume complet
218,auto.ro,probabil-nume,termeni-si-conditii: nume complet
605,unitygroup.ro,probabil-nume,/: nume complet
617,valtec.ro,CONFIRMAT-CUI,termeni-si-conditii: CUI 10077508
1164,automarket.ro,probabil-nume,termeni-si-conditii: nume complet
1290,transoil.ro,necunoscut,
606,universalsolution.ro,probabil-nume,termeni-si-conditii: nume complet
817,hexagon.ro,necunoscut,
1068,apacanal.ro,probabil-nume,termeni-si-conditii: nume complet
1255,nera.ro,necunoscut,
1762,ibanesti.ro,necunoscut,
1256,nova.ro,necunoscut,
1927,mures.ro,probabil-nume,termeni-si-conditii: nume complet
2398,radburg.ro,necunoscut,
2461,beciuldomnesc.ro,probabil-nume,/: nume complet
866,megamix.ro,probabil-nume,/: nume complet
686,blade.ro,CONFIRMAT-CUI,contact: CUI 24770066
1004,topmarket.ro,probabil-nume,termeni-si-conditii: nume complet
1040,volvo.ro,necunoscut,
1252,moldova.ro,necunoscut,
1264,primaconstruct.ro,probabil-nume,termeni-si-conditii: nume complet
1270,resonance.ro,probabil-nume,termeni-si-conditii: nume complet
1672,farma.ro,probabil-nume,termeni-si-conditii: nume complet
955,salice.ro,CONFIRMAT-CUI,contact: CUI 12532567
961,secpral.ro,necunoscut,
1082,chorus.ro,necunoscut,
2198,topmed.ro,necunoscut,
2358,darex.ro,probabil-nume,termeni-si-conditii: nume complet
522,smartpoint.ro,probabil-nume,/: nume complet
585,topline.ro,CONFIRMAT-CUI,contact: CUI 23439928
2212,trafic.ro,necunoscut,
2221,travel.ro,probabil-nume,termeni-si-conditii: nume complet
2327,termoplast.ro,probabil-nume,termeni-si-conditii: nume complet
2333,volta.ro,necunoscut,
2434,katar.ro,probabil-nume,termeni-si-conditii: nume complet
2440,perpetuus.ro,probabil-nume,termeni-si-conditii: nume complet
2494,velmi.ro,probabil-nume,/: nume complet
635,vitalis.ro,probabil-nume,termeni-si-conditii: nume complet
753,elite.ro,CONFIRMAT-CUI,/: CUI 18399991
907,pablo.ro,probabil-nume,/: nume complet
969,softech.ro,CONFIRMAT-CUI,contact: CUI 11358358
1066,andrada.ro,probabil-nume,termeni-si-conditii: nume complet
1169,avis.ro,probabil-nume,termeni-si-conditii: nume complet
1490,carmaco.ro,necunoscut,
2372,globaldesign.ro,probabil-nume,termeni-si-conditii: nume complet
2408,simos.ro,probabil-nume,termeni-si-conditii: nume complet
