id_firma,domeniu,dovada
92,telesystem.ro,pagina de contact telesystem.ro in rezultate; titlu site = firma
72,redogroup.com,site oficial redogroup.com in rezultate; sediu Bacau confirmat in snippet
74,rhinosafety.ro,articol pe rhinosafety.ro despre istoria Rhino Work Bacau; site-ul brandului firmei
77,romforest.ro,site romforest.ro (prelucrare lemn) in rezultate; a doua cautare leaga Romforest Serv SRL Comanesti de romforest.ro
82,salofarm.ro,site oficial salofarm.ro in rezultate; email office@salofarm.ro
84,grup-serban.ro,listafirme.ro afiseaza explicit website-ul firmei: https://grup-serban.ro
59,maxima.ro,maxima.ro (MAXIMA FERESTRE) in rezultate; brand detinut de Maxima Profil Nord SRL conform snippet
65,nitramonia.ro,site oficial nitramonia.ro in rezultate; comunicat proiect Nitramonia BC SRL Bacau
67,pambac.ro,site oficial pambac.ro confirmat in a doua cautare
69,partner.ro,partner.ro (Oferte scule | Partener) in rezultate; retea magazine Partener SRL Bacau
70,bonito.ro,LinkedIn Pescado Grup: website bonito.ro; branduri proprii BONITO si SALMAR
148,apan-agricultura.ro,site oficial apan-agricultura.ro + pagina contact in rezultate
152,avimi.ro,avimi.ro (Proiecte si clienti - Avimi) in rezultate; nume identic
153,blueprojects.com,blueprojects.com in rezultate; grup Blue Projects cu sediul Braila Calea Calarasilor 65
154,bonaavis.ro,a doua cautare: site-ul firmei www.bonaavis.ro (abator pui Ianca)
157,chimagri.ro,a doua cautare: www.chimagri.ro (Produse - Chimagri) site grup Chimagri Chiscani
132,prodalcom.ro,site oficial prodalcom.ro (producator Vorona/Voronskaya Botosani) in rezultate
144,madebysociety.ro,site declarat pe fisa listafirme.eu CUI 37295920 (thumbnail madebysociety.ro); fallback dupa epuizarea bugetului de cautari
119,grupeta.ro,site declarat pe fisa listafirme.eu CUI 12273950 (grupeta.ro); nume concordant Grupul de Distributie ETA
120,sabrini.ro,site declarat pe fisa listafirme.eu CUI 15743577 (sabrini.ro - brand tricotaje Botosani)
124,meat-team.ro,site declarat pe fisa listafirme.eu CUI 33778980 (meat-team.ro); nume concordant
128,apabotosani.ro,site declarat pe fisa listafirme.eu CUI 26161230 (apabotosani.ro); operator apa Botosani
108,cornells-floor.ro,site declarat pe fisa listafirme.eu CUI 24616580 (cornells-floor.ro); nume concordant
110,dolycom.ro,site declarat pe fisa listafirme.eu CUI 34495770 (dolycom.ro); nume concordant
111,alfasheetmetal.ro,site declarat pe fisa listafirme.eu CUI 17005541 (alfasheetmetal.ro - divizia sheet metal Electro Alfa)
112,electroalfa.ro,site declarat pe fisa listafirme.eu CUI 7348194 (electroalfa.ro); nume concordant
248,comtec-int.ro,site propriu in rezultate: comtec-int.ro titlu 'COMTEC 2000 INC | Produse electrice' + pagina contact
227,basf.com,site propriu basf.com/ro/ro (pagina BASF Romania + contact office.romania@basf.com)
228,baumit.ro,site propriu baumit.ro/contact/locatii + email office@baumit.ro
231,bogart.ro,emailuri office@bogart.ro / marketing@bogart.ro in rezultate; site grup Bog'Art
