id_firma,firma,judet,localitate,cui
1439,BAU DOM INVEST SRL,MURES,Apold,36920450
1561,DAGHEMANA COM SRL,MURES,Valea Larga,10177469
1562,DAMY ORTOMED SRL,MURES,Reghin,42176798
1563,DAN BOMBON SRL,MURES,Targu Mures,1217815
1567,DANYVAS AUTOTOTAL SRL,MURES,Targu Mures,40613489
1570,DAVDESIGN & MOBILA SRL,MURES,Tarnaveni,32425298
1542,CONSTRUCTII FEROVIARE MURES SA,MURES,Targu Mures,11814659
1546,COOPERATIVA AGRICOLA ECO AGRAS,MURES,Panet,44931914
1547,CORALIA COM SRL,MURES,Sighisoara,8311770
1548,COSTACOS EXCHANGE SRL,MURES,Sighisoara,12196823
1550,CREATIV CONSREG SRL,MURES,Reghin,38880972
1552,CRISTITRANSERV SRL,MURES,Dumbravioara,40428589
1555,CTC CONSTRUCT ARDEAL SRL,MURES,Dedrad,28305056
1520,COBINET SRL,MURES,Albesti,42068729
1525,COMCEREAL SARMASEL COOPERATIVA AGRICOLA,MURES,Sarmasel Gara,
1530,COMPANIA DE DEMOLARI INDUSTRIALE SRL,MURES,Dambau,31085414
1531,COMPLEX BOEMA SRL,MURES,Corunca,46751006
1534,COMVIG IMPEX SRL,MURES,Reghin,1235455
1541,CONSTRUCT STIL INOX SRL,MURES,Targu Mures,18023473
1491,CARNICOMP SRL,MURES,Sighisoara,13094210
1503,CEREALAND SRL,MURES,Coroisanmartin,26899130
1505,CEZOTI FRUCT SRL,MURES,Targu Mures,46124597
1513,CITY AUTOMOBILE SRL,MURES,Corunca,5370225
1514,CLAU SI ROMANA TRANS SRL,MURES,Band,27209875
1515,CLAUBIS PROD COM IMPEX SRL,MURES,Reghin,1241791
2290,ALMOS AGROROM SRL,NEAMT,Secuieni,18736345
2291,ALTEX LOGISTIC & DISTRIBUTION SRL,NEAMT,Piatra Neamt,14966155
2292,AMCOR FLEXIBLES PIATRA NEAMT SRL,NEAMT,Savinesti,23180245
2293,ARCELORMITTAL TUBULAR PRODUCTS ROMAN SA,NEAMT,Roman,2057240
2294,AUGSBURG SRL,NEAMT,Piatra Neamt,2042479
2296,BANESTO SRL,NEAMT,Piatra Neamt,11207525
2297,BICO INDUSTRIES SA,NEAMT,Piatra Neamt,19241603
2298,BRILIANT SRL,NEAMT,Roman,
2266,VLAXIFIT SRL,MURES,Targu Mures,37810189
2268,VOLSCENS PRODIMPEX SRL,MURES,Reghin,8536188
2276,WIJNEN SRL,MURES,Breaza,33305982
2280,XTINA M & C SRL,MURES,Targu Mures,43626084
2285,ZOLVAS SRL,MURES,Orsova,17271357
2288,ADF PROD SRL,NEAMT,Piatra Neamt,6501868
2289,ADRIDAN SRL,NEAMT,Piatra Neamt,4498421
2241,VALPADICOM SRL,MURES,Valea Larga,5048689
2243,VANIA PRODCOM SRL,MURES,Reghin,4026780
2254,VIA OIL PETROLEUM SRL,MURES,Cristesti,15015778
2258,VIOMOB IMPEX SRL,MURES,Targu Mures,1209103
2259,VIRTUAL REALITY ZONE SRL,MURES,Targu Mures,40287994
2219,TRANSILVANIA BETON SRL,MURES,Cristesti,41267049
2224,TUBER TRANSILVANIA SRL,MURES,Cristesti,34557015
2225,TUBSYSTEM SRL,MURES,Reghin,14192992
2229,TUTTO ABC SRL,MURES,Sighisoara,6626799
2234,UNIPREST IMOBILIARE SRL,MURES,Targu Mures,36464885
