id_firma,domeniu,dovada
1919,betoanemures.ro,statia betoane multibet
1927,,nu gasit
1928,,nu gasit
1929,,nu gasit
1930,,nu gasit
2109,smrecosal.ro,schuster ecosal waste
2117,,nu gasit
2120,,nu gasit
2122,,nu gasit
2123,,nu gasit
2125,,nu gasit
2132,,nu gasit
2090,,nu gasit
2091,,nu gasit
2095,atlasimagistica.com,atlas imagistica diagnostics
2102,halaszcsarda.ro,salmo han pescares restaurant
2107,,nu gasit
2060,,nu gasit
2070,,nu gasit
2074,,nu gasit
2076,,nu gasit
2077,,nu gasit
2081,rometaldianis.ro,rometal dianis ludus metal
2084,rommetaleng.com,rommetal engineering livezeni
2022,,nu gasit
2026,,nu gasit
2027,,nu gasit
2029,,nu gasit
2041,promobdecor.com,promobdecor nazna furniture
2043,flozo.ro,protelcon reghin windows
2049,,nu gasit
2051,,nu gasit
2481,perfectelma.ro,perfect elma distribution wine
2482,,nu gasit
2484,premiumporc.com,premium porc feed golesti
2486,,nu gasit
2487,scorpion.ro,scorpion exim focsani vw
2488,simizfashion.ro,simiz fashion focsani clothing
21,barrier.ro,barrier bacau windows
2471,ecox.ro,eco x petresti recycling
2472,,nu gasit
2473,,nu gasit
2474,,nu gasit
2475,,nu gasit
2476,,nu gasit
2478,,nu gasit
2479,,nu gasit
2460,beciuldomnesc.ro,beciul domnesc grup wine
2461,beciuldomnesc.ro,beciul domnesc sa wine
2463,cupfocsani.ro,compania utilitati focsani water
