id_firma,domeniu,doveda
2127,,
1916,,
1949,,
1956,novamecanica.ro,company website official
1962,,
1996,,
2001,,
2009,,
2021,,
2142,,
2148,,
2177,textilamures.ro,textile cooperative official
2212,,
1836,,
1837,,
1842,,
1849,,
1850,,
1854,,
1870,,
1871,,
1896,,
1897,,
1901,,
1902,,
1744,,
1749,,
1755,,
1761,,
1787,,
1789,,
1801,,
1672,,
1678,,
1682,,
1718,,
1738,h-metal.ro,metal wholesale official
1740,,
1652,,
1661,,
2221,,
2243,vasspetroltankersrl.com,fuel storage logistics
2255,,
2260,,
2279,,
1501,,
1504,,
1526,,
1533,,
1543,,
