id_firma,domeniu,mx,verdict,dovada_pag
92,telesystem.ro,True,CONFIRMAT-CUI,contact
72,redogroup.com,True,probabil-nume,despre-noi
74,rhinosafety.ro,True,probabil-nume,despre-noi
77,romforest.ro,True,probabil-nume,despre-noi
82,salofarm.ro,True,probabil-nume,despre-noi
84,grup-serban.ro,True,probabil-nume,despre-noi
59,maxima.ro,True,nevalidat,
65,nitramonia.ro,True,probabil-nume,despre-noi
67,pambac.ro,True,CONFIRMAT-CUI,contact
69,partner.ro,True,probabil-nume,/
70,bonito.ro,True,nevalidat,
148,apan-agricultura.ro,True,CONFIRMAT-CUI,contact
152,avimi.ro,False,probabil-nume,despre-noi
153,blueprojects.com,True,nevalidat,
154,bonaavis.ro,True,probabil-nume,despre-noi
157,chimagri.ro,True,nevalidat,
132,prodalcom.ro,True,nevalidat,
144,madebysociety.ro,False,nevalidat,
119,grupeta.ro,True,CONFIRMAT-CUI,contact
120,sabrini.ro,True,CONFIRMAT-CUI,despre-noi
124,meat-team.ro,True,probabil-nume,despre-noi
128,apabotosani.ro,True,probabil-nume,/
108,cornells-floor.ro,True,probabil-nume,despre-noi
110,dolycom.ro,True,probabil-nume,/
111,alfasheetmetal.ro,True,probabil-nume,despre-noi
112,electroalfa.ro,True,probabil-nume,despre-noi
248,comtec-int.ro,True,CONFIRMAT-CUI,contact
227,basf.com,True,nevalidat,
228,baumit.ro,True,probabil-nume,despre-noi
231,bogart.ro,True,nevalidat,
232,boiron.ro,True,probabil-nume,despre-noi
233,borealis-lat.com,False,nevalidat,
234,bosch.ro,False,probabil-nume,despre-noi
199,ro.agrana.com,False,probabil-nume,/
203,albalact.ro,True,probabil-nume,despre-noi
204,alcedo.ro,True,probabil-nume,despre-noi
218,autoitalia.ro,True,CONFIRMAT-CUI,/
302,jll.ro,False,nevalidat,
305,masteractivities.ro,True,probabil-nume,despre-noi
308,kaufland.ro,True,probabil-nume,despre-noi
309,kepler-rominfo.com,False,nevalidat,
310,kia.ro,True,probabil-nume,contact
311,kik.ro,True,probabil-nume,despre-noi
291,ing.ro,True,probabil-nume,/
298,ivatherm.com,True,probabil-nume,despre-noi
273,heidelbergmaterials.com,True,probabil-nume,contact
279,hs.at,True,nevalidat,
281,hunterdouglas.ro,True,nevalidat,
282,husqvarna.com,True,probabil-nume,despre-noi
284,hyundai-motor.ro,True,probabil-nume,despre-noi
260,creditcoop.ro,True,probabil-nume,despre-noi
261,romcim.ro,True,probabil-nume,contact
262,danone.ro,True,probabil-nume,despre-noi
265,dccom.ro,True,nevalidat,
348,petrom.ro,False,probabil-nume,despre-noi
2494,velmi.ro,True,probabil-nume,/
8,aerostar.ro,True,nevalidat,
9,agricola.ro,True,probabil-nume,despre-noi
13,aliant.tech,True,probabil-nume,despre-noi
2443,urbgroup.com,True,probabil-nume,contact
2450,vascar.ro,True,probabil-nume,contact
2429,crismih.ro,True,probabil-nume,despre-noi
2431,morandicom.ro,True,nevalidat,
2434,katar.ro,True,probabil-nume,despre-noi
2418,tudialactate.ro,True,probabil-nume,despre-noi
2420,alpinoil.ro,True,probabil-nume,/
2424,aquavaslui.ro,False,probabil-nume,despre-noi
2405,sav-com.ro,True,probabil-nume,despre-noi
2406,mesopotamia.ro,True,CONFIRMAT-CUI,/
2408,simos.ro,True,probabil-nume,despre-noi
2409,spartan.ro,True,nevalidat,
2412,tarsin.ro,True,nevalidat,
98,vimercati.com,True,nevalidat,
106,comcerealbt.ro,True,probabil-nume,/
107,conrecbotosani.ro,True,nevalidat,
89,tectriu.com,True,probabil-nume,contact
113,electroalfa.ro,True,probabil-nume,/
116,five-continents.eu,True,probabil-nume,despre-noi
192,bento.ro,True,CONFIRMAT-CUI,contact
195,abb.com,True,nevalidat,
198,afcon-electra.com,True,nevalidat,
181,romnav.ro,True,nevalidat,
182,romway.ro,True,probabil-nume,/
171,irmex.suzuki.ro,False,CONFIRMAT-CUI,despre-noi
174,locket.ro,True,nevalidat,
175,locket.ro,True,nevalidat,
158,chimagri.wordpress.com,False,probabil-nume,despre-noi
159,comision-braila.ro,True,nevalidat,
160,apabraila.ro,True,CONFIRMAT-CUI,/
163,eldomir.ro,True,probabil-nume,despre-noi
165,eurobuilding.ro,False,probabil-nume,despre-noi
167,flip.ro,True,probabil-nume,despre-noi
250,conarg.co,True,probabil-nume,despre-noi
251,concelex.ro,True,probabil-nume,despre-noi
254,contigrup.ro,True,probabil-nume,despre-noi
255,conversion.ro,True,probabil-nume,contact
256,cos.ro,True,CONFIRMAT-CUI,contact
257,corteva.com,True,probabil-nume,despre-noi
236,paptot.ro,True,probabil-nume,despre-noi
237,brain4strategy.com.pr,True,probabil-nume,/
238,brainspotting.ro,True,probabil-nume,despre-noi
241,brd.ro,True,probabil-nume,despre-noi
243,cdmediase.eu,True,probabil-nume,despre-noi
245,cec.ro,True,CONFIRMAT-CUI,contact
247,colliers.com,True,nevalidat,
