id_firma,domeniu,mx,verdict,dovada_pag
532,solarisbus.com,True,nevalidat,
535,spectrumbrands.eu,True,nevalidat,
536,hidroelectrica.ro,True,nevalidat,
539,reginamaria.ro,True,probabil-nume,contact
523,smart-sa.ro,True,probabil-nume,despre-noi
524,smartech.ro,True,probabil-nume,/
525,smartree.com,True,probabil-nume,despre-noi
526,nuclearelectrica.ro,True,probabil-nume,despre-noi
527,electrica.ro,True,nevalidat,
528,ior.ro,True,probabil-nume,despre-noi
511,siemens.com,True,probabil-nume,despre-noi
512,signify.com,True,probabil-nume,contact
513,siiromania.ro,True,probabil-nume,despre-noi
514,simartis.ro,True,nevalidat,
501,se.com,True,probabil-nume,contact
502,sea.ro,True,nevalidat,
507,officeshoes.ro,True,nevalidat,
508,siad.ro,True,nevalidat,
578,ro.timacagro.com,True,CONFIRMAT-CUI,/
583,tnt.com,True,nevalidat,
585,topline.ro,True,CONFIRMAT-CUI,contact
566,echipamentestoma.ro,True,probabil-nume,despre-noi
568,teletrans.ro,True,nevalidat,
570,tempera.ro,True,nevalidat,
574,teva-romania.ro,True,nevalidat,
561,technoelectric.ro,True,probabil-nume,despre-noi
562,techtex.ro,True,probabil-nume,despre-noi
563,techventures.bank,True,CONFIRMAT-CUI,contact
542,starkey.ro,True,nevalidat,
543,steelmet.ro,True,nevalidat,
544,strabag.ro,False,probabil-nume,/
545,stratumenergy.com,True,probabil-nume,despre-noi
550,svn.ro,True,probabil-nume,contact
551,syncons.eu,True,probabil-nume,despre-noi
615,valor.ro,True,nevalidat,
623,verbund.ro,False,probabil-nume,despre-noi
605,unitygroup.ro,True,probabil-nume,/
606,universalsolution.ro,True,probabil-nume,despre-noi
610,upswing.ro,True,probabil-nume,despre-noi
612,uzinsidergc.ro,True,probabil-nume,/
613,vando.gr,True,nevalidat,
614,valdomedica.ro,True,probabil-nume,/
598,uipath.com,True,probabil-nume,despre-noi
599,ungersteel.com,True,probabil-nume,contact
600,unicredit.ro,True,probabil-nume,despre-noi
601,unifarm.ro,True,nevalidat,
603,unitedcom.org,True,probabil-nume,despre-noi
604,unitedmedia.ro,True,nevalidat,
586,totalpr.ro,True,probabil-nume,despre-noi
587,toyota-forklifts.ro,True,probabil-nume,despre-noi
588,tpa-group.ro,True,probabil-nume,despre-noi
589,tradeville.ro,True,probabil-nume,despre-noi
591,transelectrica.ro,True,probabil-nume,/
594,trident-pharma.ro,True,nevalidat,
676,atexpc.ro,True,CONFIRMAT-CUI,/
678,autoworld.ro,True,probabil-nume,despre-noi
652,wolftheiss.com,True,probabil-nume,despre-noi
654,yardi.com,True,nevalidat,
655,2-connect.com,True,probabil-nume,contact
658,accesa.eu,True,probabil-nume,despre-noi
662,advantageaustria.org,True,probabil-nume,despre-noi
640,wabag.ro,True,nevalidat,
642,wdp.eu,True,probabil-nume,despre-noi
643,wavemakerglobal.com,False,probabil-nume,contact
646,whirlpool.ro,True,probabil-nume,despre-noi
647,whitemountain.ro,True,probabil-nume,despre-noi
648,wienerberger.ro,True,probabil-nume,despre-noi
651,wfs.eu,True,probabil-nume,despre-noi
628,vgpparks.eu,True,nevalidat,
629,viatris.com,True,probabil-nume,despre-noi
631,vinci-energies.ro,True,probabil-nume,despre-noi
633,vistra.com,True,nevalidat,
634,vitalaire.ro,True,probabil-nume,despre-noi
635,vitalis.com,True,probabil-nume,despre-noi
636,vodafone.ro,True,probabil-nume,despre-noi
709,centrulmedicalreview.com,True,probabil-nume,despre-noi
712,chimsport-holding.ro,False,nevalidat,
713,cmcasigurari.ro,True,probabil-nume,despre-noi
716,compexit.ro,True,CONFIRMAT-CUI,contact
718,cjcluj.ro,True,probabil-nume,despre-noi
701,medsancluj.ro,True,probabil-nume,despre-noi
702,agrotransilvania.ro,True,CONFIRMAT-CUI,contact
705,napomedica.ro,True,probabil-nume,/
706,novoengrama.ro,True,probabil-nume,despre-noi
707,cmtransilvania.ro,True,probabil-nume,contact
708,interservisan.ro,True,CONFIRMAT-CUI,contact
693,carbochim.ro,True,probabil-nume,despre-noi
694,cardiomedcluj.ro,True,probabil-nume,despre-noi
696,carpatinsolv.ro,True,nevalidat,
700,astecomedical.ro,True,probabil-nume,despre-noi
680,perpetuum.ro,True,CONFIRMAT-CUI,contact
683,bancatransilvania.ro,True,probabil-nume,despre-noi
686,blade.ro,True,CONFIRMAT-CUI,contact
687,blitz.ro,True,CONFIRMAT-CUI,contact
755,emerson.com,True,probabil-nume,despre-noi
756,emsfloorgroup.com,True,probabil-nume,contact
757,endava.com,True,nevalidat,
763,eurogsm.ro,True,CONFIRMAT-CUI,contact
751,electroglobal.ro,True,nevalidat,
753,elite.ro,True,CONFIRMAT-CUI,/
734,daciacluj.ro,True,probabil-nume,contact
739,deltamed.ro,True,probabil-nume,despre-noi
721,carmangeriamoldovan.ro,True,nevalidat,
723,cplconcordia.ro,True,probabil-nume,despre-noi
724,craftingsoftware.com,True,probabil-nume,despre-noi
725,cramavatrarosia.com,True,nevalidat,
730,luminiacluj.ro,True,probabil-nume,/
796,gdmr.ro,True,CONFIRMAT-CUI,/
812,hasit.ro,True,CONFIRMAT-CUI,/
813,heco-schrauben.com,True,probabil-nume,despre-noi
814,heisterkamp.eu,True,nevalidat,
892,brinel.ro,True,nevalidat,
897,norstal.ro,True,probabil-nume,despre-noi
898,novapg.ro,True,probabil-nume,despre-noi
900,ro.nttdata.com,False,probabil-nume,despre-noi
883,mcclabel.com,True,probabil-nume,despre-noi
885,nagarro.com,True,nevalidat,
887,napochim.ro,True,nevalidat,
888,nastimed.ro,True,CONFIRMAT-CUI,contact
870,mhp.com,True,nevalidat,
876,molromania.ro,True,nevalidat,
877,moldovanfood.ro,True,CONFIRMAT-CUI,/
882,msg-systems.ro,True,nevalidat,
859,marelli.com,True,nevalidat,
860,mariflor.ro,True,CONFIRMAT-CUI,contact
866,megamix.ro,True,probabil-nume,/
868,mmt.ro,True,probabil-nume,/
951,routiertransport.com,True,probabil-nume,despre-noi
952,rtz.ro,True,nevalidat,
957,sanex.ro,True,CONFIRMAT-CUI,contact
958,santomar.ro,True,nevalidat,
960,sdcimobiliare.ro,True,probabil-nume,despre-noi
961,secpralpro.ro,True,probabil-nume,/
944,rodeapps.com,True,probabil-nume,despre-noi
947,rondocarton.ro,False,nevalidat,
949,rotaryclujnapoca.ro,True,probabil-nume,despre-noi
929,purmo.com,True,nevalidat,
933,rdcons.eu,True,probabil-nume,despre-noi
939,remsimobiliare.ro,True,probabil-nume,despre-noi
909,panemar.ro,True,nevalidat,
913,pitas.ro,True,nevalidat,
914,pizzarotti.it,True,nevalidat,
920,premierem.ro,True,probabil-nume,despre-noi
993,telenav.com,True,nevalidat,
995,terapia.ro,True,nevalidat,
996,terapia.ro,True,nevalidat,
997,terax.ro,True,nevalidat,
1002,tigersomes.ro,True,probabil-nume,despre-noi
984,foundever.com,True,nevalidat,
986,takeofflabs.com,True,probabil-nume,despre-noi
992,tehnofavorit.ro,True,probabil-nume,despre-noi
974,someg.ro,True,nevalidat,
979,steelcase.com,True,probabil-nume,despre-noi
983,rottaprint.com,True,CONFIRMAT-CUI,/
962,seko.com,True,nevalidat,
964,servelect.ro,True,probabil-nume,contact
965,servuscluj.ro,True,nevalidat,
969,softech.ro,True,CONFIRMAT-CUI,contact
1066,andrada.ro,True,probabil-nume,despre-noi
1068,apa-canal.ro,True,nevalidat,
1069,arabesque.ro,True,probabil-nume,despre-noi
1046,wolfpack-digital.com,True,probabil-nume,contact
1047,woodentechnic.ro,True,CONFIRMAT-CUI,/
1048,woerwagpharma.ro,True,probabil-nume,despre-noi
1049,yardiromania.ro,False,probabil-nume,despre-noi
1050,tss-yonder.com,True,probabil-nume,despre-noi
1051,zipper-services.ro,True,CONFIRMAT-CUI,/
1060,afdj.ro,True,nevalidat,
1138,damen.com,True,nevalidat,
1141,transurbgalati.ro,True,CONFIRMAT-CUI,contact
1128,pentagonromania.ro,True,probabil-nume,/
1130,prutul.ro,True,nevalidat,
1109,libertysteelgroup.com,True,nevalidat,
1110,libertysteelgroup.com,True,nevalidat,
1116,marcoser.ro,True,CONFIRMAT-CUI,contact
1120,farmaciilemyosotis.ro,True,nevalidat,
1098,ewlogistics.net,True,probabil-nume,/
1100,francugroup.com,True,probabil-nume,despre-noi
1101,gendav.ro,True,probabil-nume,despre-noi
1102,grandegloria.com,True,CONFIRMAT-CUI,/
1103,icedesign.info,True,probabil-nume,despre-noi
1107,laboratorium.ro,True,probabil-nume,despre-noi
1180,caretta.ro,True,probabil-nume,despre-noi
1182,opelcasaauto.ro,True,nevalidat,
1185,catenaelectric.ro,True,nevalidat,
