id_firma,domeniu,mx,verdict,dovada_pag
785,fortech.ro,True,nevalidat,
786,fortech.ro,True,nevalidat,
789,fujikura-automotive.com,True,nevalidat,
790,transilvanialeaders.ro,True,nevalidat,
791,proceduriaudit.ro,True,CONFIRMAT-CUI,contact
793,gamemine.com,True,probabil-nume,despre-noi
776,fdaam.ro,True,nevalidat,
778,felinvest.com,False,nevalidat,
779,fendercables.com,True,probabil-nume,/
781,filofisitrandafir.ro,True,probabil-nume,despre-noi
782,findernet.com,True,nevalidat,
784,apartamenteflor.ro,True,probabil-nume,/
769,evwholding.ro,True,probabil-nume,despre-noi
771,natex.ro,True,nevalidat,
772,ey.com,True,nevalidat,
773,fanuc.eu,True,probabil-nume,despre-noi
774,farmec.ro,True,probabil-nume,despre-noi
845,kpmg.com,True,probabil-nume,despre-noi
848,lecombirotica.ro,True,nevalidat,
849,legofruct.ro,True,nevalidat,
850,leier.ro,True,CONFIRMAT-CUI,/
853,evanwijk.ro,True,CONFIRMAT-CUI,/
854,logitrust.ro,True,nevalidat,
831,instal-expert.ro,True,probabil-nume,/
832,intercars.ro,True,nevalidat,
834,invest-dej.com,True,CONFIRMAT-CUI,/
835,iquestgroup.com,True,nevalidat,
837,kadra.ro,True,probabil-nume,despre-noi
840,kinetoteam.ro,True,probabil-nume,despre-noi
842,knoxgroup.ro,False,CONFIRMAT-CUI,/
843,kadd.ro,True,probabil-nume,despre-noi
818,httsky.com,True,probabil-nume,contact
822,huennebeck.com,True,probabil-nume,contact
826,imcop.ro,True,probabil-nume,/
827,imm-hydroest.ro,True,nevalidat,
829,impro.ro,True,nevalidat,
830,imsatservice.ro,True,probabil-nume,despre-noi
971,softvision.com,True,nevalidat,
1039,vlg.ro,True,nevalidat,
1040,volvotrucks.ro,True,probabil-nume,/
1043,wincon.ro,True,probabil-nume,despre-noi
1044,wesee.ro,True,probabil-nume,despre-noi
1025,upvision.ro,True,probabil-nume,contact
1015,utilben.ro,True,nevalidat,
1019,undoi.ro,True,nevalidat,
1006,tqcluj.ro,True,CONFIRMAT-CUI,/
1008,transart.ro,True,probabil-nume,despre-noi
1009,tcarpatica.ro,False,nevalidat,
1086,clmtrans.com,True,probabil-nume,/
1088,navrom.ro,True,nevalidat,
1089,criomecsa.ro,True,probabil-nume,despre-noi
1095,dynamic-sg.ro,True,probabil-nume,despre-noi
