idx_a,firma_a,jud_a,loc_a,sursa_a,idx_b,firma_b,jud_b,loc_b,sursa_b,scor
0,SII ROMANIA,BUCURESTI,SECTOR 5,ADRESE_2000,1080,SIE ROMANIA,BUCURESTI,SECTOR 1,ADRESE_2000,90.9090909090909
1080,SIE ROMANIA,BUCURESTI,SECTOR 1,ADRESE_2000,1320,SEA ROMANIA SRL,BUCURESTI,SECTOR 5,ADRESE_2000,90.9090909090909
1086,SAP ROMANIA,BUCURESTI,SECTOR 1,ADRESE_2000,1320,SEA ROMANIA SRL,BUCURESTI,SECTOR 5,ADRESE_2000,90.9090909090909
1086,SAP ROMANIA,BUCURESTI,SECTOR 1,ADRESE_2000,1345,SPP ROMANIA,BUCURESTI,SECTOR 6,ADRESE_2000,90.9090909090909
1055,TAKEDA PHARMACEUTICALS SRL,BUCURESTI,SECTOR 1,ADRESE_2000,1196,TEVA PHARMACEUTICALS SRL,BUCURESTI,SECTOR 2,ADRESE_2000,90.47619047619048
1493,MATEROM AUTOMOTIVE SRL,MURES,CRISTESTI,mures,1554,MATEROM AUTOMOBILE SRL,MURES,CRISTESTI,mures,88.88888888888889
1051,TEMPO ADVERTISING,BUCURESTI,SECTOR 1,ADRESE_2000,1343,TEMPERA ADVERTISING,BUCURESTI,SECTOR 6,ADRESE_2000,88.88888888888889
1086,SAP ROMANIA,BUCURESTI,SECTOR 1,ADRESE_2000,1349,SIAD ROMANIA,BUCURESTI,SECTOR 6,ADRESE_2000,86.95652173913044
1080,SIE ROMANIA,BUCURESTI,SECTOR 1,ADRESE_2000,1349,SIAD ROMANIA,BUCURESTI,SECTOR 6,ADRESE_2000,86.95652173913044
0,SII ROMANIA,BUCURESTI,SECTOR 5,ADRESE_2000,1349,SIAD ROMANIA,BUCURESTI,SECTOR 6,ADRESE_2000,86.95652173913044
1320,SEA ROMANIA SRL,BUCURESTI,SECTOR 5,ADRESE_2000,1349,SIAD ROMANIA,BUCURESTI,SECTOR 6,ADRESE_2000,86.95652173913044
943,AIK ENERGY ROMANIA,BUCURESTI,SECTOR 1,ADRESE_2000,953,AXPO ENERGY ROMANIA SA,BUCURESTI,SECTOR 1,ADRESE_2000,86.48648648648648
1514,MACO CONSTRUCT SRL,MURES,TARGU MURES,mures,2334,MATE CONSTRUCT SRL,MURES,GANESTI,suplimentar,85.71428571428572
213,CENTRU MEDICAL MEDSAN,CLUJ,CLUJ NAPOCA,ADRESE_2000,537,CENTRUL MEDICAL MIMED,CLUJ,FLORESTI,ADRESE_2000,85.71428571428572
1851,COFIT CONSTRUCT SRL,MURES,TARGU MURES,mures,1945,CFP CONSTRUCT SRL,MURES,NAZNA,suplimentar,85.71428571428572
