id_firma,tipare
2,bogdan.giurconiu@inmaacro.com;dan.popescu@inmaacro.com;daniel.musat@inmaacro.com
5,%20office@nicolauscom.ro;office@nicolauscom.ro
6,recrutare@bilstein.ro
207,office@alphamedical.ro
286,%20office@imedica.ro;office@imedica.ro
293,%20infoclient@interstar.ro;infoclient@interstar.ro
345,bd@ndmedhealth.ro;info@ndmedhealth.ro
490,contact@sante.ro
492,group-info@sarantisgroup.com
530,info.uz@sofmedica.com;info.bg@sofmedica.com;info.si@sofmedica.com
549,vacante@gotravel.ro;office@gotravel.ro
553,info@synotech.com
569,office@tema-energy.ro
620,horatiu.badescu@vectra.ro;george.badescu@vectra.ro;daniel.popescu@vectra.ro
943,facturi.furnizori@rocasdecor.ro
1054,info@gdlgroup.eu
1059,tamas.nagy@panelland.eu;g.manager@panelland.eu
1299,alindaro@alinda.ro
1300,suport@analkoaluminium.ro;office@analkoaluminium.ro
1302,info.belgrade@elton-group.com;info.istanbul@elton-group.com;info.sofia@elton-group.com
1304,office@flexikom.ro
1305,info@isomat.ro
1311,office@rohel.ro
1312,unsubscribe@romcolor.ro;office@romcolor.ro;info@romcolor.ro
1314,info@skrekis.ro;vanzari@skrekis.ro;office@skrekis.ro
1321,office@aages.ro
1327,office@acoperisulpotrivit.ro
1328,office@lotuslife.ro
1335,service@adial.ro
1336,office@adianacom.ro
1337,shop@adimag.ro
1340,contact@piete-tgmures.ro
1342,contact@adrusolution.ro
1343,office@transylvaniaairport.ro
1370,sandor.makkai@aliat-ams.ro;sorin.negru@aliat-ams.ro;sabin.catana@aliat-ams.ro
1374,balastiera@alltin.ro
1383,office@sovata-alunis.ro
1408,office@molyslip.ro
1429,contact@b2bsynergy.ro;office@b2bsynergy.ro
1466,comercial@bigal.ro;tehnic@bigal.ro;office@bigal.ro
1493,office@motelsighisoara.com
1499,depozit@cgarhivare.ro;cv@cgarhivare.ro;office@cgarhivare.ro
1519,n.peter@ceramicmozaic.ro
1577,contact@deltatherm.ro
1598,office@drumserv.ro
1608,service@eet.ro;comenzi@eet.ro;office@eet.ro
1628,service@elmed.ro;chirurgieplastica@elmed.ro;urologie@elmed.ro
1644,info@plazam.ro
1657,office@ever-green.ro
1686,info@dracul.ro
1700,%20marketing@fomcotruckservice.ro;marketing@fomcotruckservice.ro
1751,contact@hidrosalt.ro
1766,office@imaconcept.ro
1775,livrare@materom.ro;office@materom.ro
1781,office@instgaz.ro
1791,office@irum.ro
1872,livrare@materom.ro;office@materom.ro
1898,office@milkpact.ro
1910,office@seminte-andra.ro
1918,alexandru.marin@msprojects.ro;vasile.palcu@msprojects.ro;alexandru.hahue@msprojects.ro
1925,info@mureshidraulici.com
1936,comenzi@nhomedesign.ro
1960,office@oapt.ro
1981,leszai.almos@pacovis.ro
2003,service@plasmaserv.ro;comercial@plasmaserv.ro;contabilitate@plasmaserv.ro
2012,tehnic5@upss.ro;tehnic2@upss.ro;vanzari4@upss.ro
2036,office@proflex.ro
2071,rezervari@hotelriver.ro
2080,contact@romchim.ro;office@romchim.ro
2089,info@rovitaflora.ro
2099,office@sabisor.ro
2118,contab@semtest-bvn.ro;peterfi@semtest-bvn.ro;danut@semtest-bvn.ro
2129,http://office@gombos-security.ro;office@gombos-security.ro
2138,office@sonnentor.ro
2159,office@eurosandoor.ro
2188,office@timberstar-medical.ro
2199,office@topmed.ro
2211,adelina@razvanidicel.ro
2240,office@smartwash.ro
2249,service@veltol.com;office@veltol.com
2257,vim@vimspectrum.ro
2284,contact@zimag.ro
2423,gabriel.bontea@sistemplast.ro
1376,office@all4plast.ro
1387,hello@liliac.com
1399,office@apiprodex.eu
1409,officep@armosprotect.ro;office@armosprotect.ro
1416,contact@atlassport.ro
1430,office@fivmures.ro
1438,bartrom@bartrom.ro
1452,pallexcontact@bilytrans.ro;contact@bilytrans.ro;vanzari@bilytrans.ro
1459,kriszta.kluzsan@blondyromania.ro;attila.ravasz@blondyromania.ro;ilona.kluzsan@blondyromania.ro
1472,contact@bsguarding.ro
